A11,A12,A13,A21,A22,A23,A31,A32,A33,vorticity
0.0768147578543234,0.543363974557757,0.0174769741629925,-0.4278725164790142,0.7020545693261899,-0.9454518250654182,-0.3502534351706932,-0.19665725362905,-0.7788693271805134,0.0
-0.2062846138237724,0.7197670188119811,0.4273246758017726,-0.3687860044372759,0.9677110170545922,0.5423272895542992,0.0903706439625058,0.6008452813455123,-0.7614264032308198,1.0
0.5818820593585237,-0.4628122223375712,-0.1086212851718237,0.2873254170321326,0.0381038304243053,0.120803813847345,0.0034941442550731,0.91125903721598,-0.619985889782829,0.0
0.2477570465710241,0.8567721274276212,0.5466958875810217,0.9187381486285384,0.7879766128249497,0.6304665673420158,0.2710578335898792,-0.5774552192989024,-1.0357336593959738,0.0
0.0795116676249634,0.945306250279336,-0.6075570980570166,-0.7916738509140728,-0.729010951905201,0.0954721767635395,-0.8006666319546563,0.4048110537390372,0.6494992842802376,0.0
-0.0902495389704012,-0.8873692805410112,-0.8990804101120613,-0.8608380226676862,-0.0401933533065743,0.154769921818799,-0.8749990809861052,0.7274431964190464,0.1304428922769755,0.0
-0.413537596172667,-0.1130033082296364,0.8007332352534313,0.0731406937322987,-0.8931029032304447,0.367331498646793,-0.7016177158873314,0.3324498956176338,1.3066404994031118,1.0
0.5266394031044817,0.3228330801510959,0.792103783512285,0.6558444608932723,-0.6229156933805826,0.2522077277267234,0.3533768283542939,0.4749963813146549,0.0962762902761009,0.0
0.6834060560077289,-0.1474964807943681,0.9614777322665812,0.4704595177444579,0.9796173931825812,0.0126614648775964,-0.0530447863803962,-0.0785195050523028,-1.66302344919031,0.0
0.4087382243402844,0.045609690164478,-0.6018728672253968,-0.7059119344651443,-0.3979128138952803,-0.8782107279925662,-0.3233863365691658,-0.6138779901773228,-0.010825410445004,0.0
0.5769182149006664,0.7615223782135789,-0.8166000056812419,0.74524511717839,-0.6665664893265273,-0.9898699422846696,-0.2558362668010256,-0.3045725794422369,0.0896482744258608,0.0
-0.9829034627138408,-0.7737302276945317,-0.6611145341845313,0.8389842251773076,-0.091996825279403,-0.7967415603355583,-0.0832470066775454,-0.4773072448708584,1.0749002879932437,0.0
-0.2836698496931695,0.1655474206113523,0.8698790172457962,0.0358190935762681,-0.9934526359035772,0.9006445420087277,0.944677403243538,-0.1989821092926125,1.277122485596747,0.0
-0.8153283559098592,-0.9298368068824504,-0.186750850641697,0.2450908180293665,-0.1836610501861819,0.6054777080108942,-0.2782443343856355,0.5411323346089119,0.9989894060960413,0.0
0.4841835146326265,0.6344626658566386,-0.1871004621308905,0.0146694120739998,-0.5719789256212908,0.1880668480165348,-0.6361544488670638,-0.0749032683693198,0.0877954109886642,0.0
-0.1223269763078787,-0.1402744518873508,0.1336696653853912,0.9708193118396466,-0.3468699832914281,0.8995269786724798,-0.982724132618008,-0.9807833488342974,0.4691969595993068,1.0
-0.8715845716931505,0.9562290213133832,-0.6380015801275347,0.0330082008833483,-0.7862275080355903,0.2741644326978494,0.6020711407794856,-0.1603270472178226,1.6578120797287408,0.0
