Epoch 1/200, Training Loss: 0.2641547565152117, Validation Loss: 0.23804316257897276, Validation Accuracy: 0.895327
Epoch 2/200, Training Loss: 0.22085454907974145, Validation Loss: 0.2082444441299469, Validation Accuracy: 0.909602
Epoch 3/200, Training Loss: 0.20106495414664216, Validation Loss: 0.19498782435926004, Validation Accuracy: 0.915624
Epoch 4/200, Training Loss: 0.19349569838707276, Validation Loss: 0.1892823808775923, Validation Accuracy: 0.918309
Epoch 5/200, Training Loss: 0.18953196208565168, Validation Loss: 0.18670252341622362, Validation Accuracy: 0.919188
Epoch 6/200, Training Loss: 0.18697818368938188, Validation Loss: 0.1854305755311308, Validation Accuracy: 0.919635
Epoch 7/200, Training Loss: 0.18479872908915992, Validation Loss: 0.18329902064686004, Validation Accuracy: 0.920709
Epoch 8/200, Training Loss: 0.18276987440150444, Validation Loss: 0.18144570671902677, Validation Accuracy: 0.921331
Epoch 9/200, Training Loss: 0.18129660805221812, Validation Loss: 0.17971918034477355, Validation Accuracy: 0.922083
Epoch 10/200, Training Loss: 0.18015632636704734, Validation Loss: 0.17832576138333392, Validation Accuracy: 0.922695
Epoch 11/200, Training Loss: 0.17926130886396563, Validation Loss: 0.17757347421333813, Validation Accuracy: 0.922856
Epoch 12/200, Training Loss: 0.17826943642466764, Validation Loss: 0.17685537649610172, Validation Accuracy: 0.923142
Epoch 13/200, Training Loss: 0.17747194144359654, Validation Loss: 0.17631560649734718, Validation Accuracy: 0.92339
Epoch 14/200, Training Loss: 0.17686527062153162, Validation Loss: 0.17541407891355765, Validation Accuracy: 0.923855
Epoch 15/200, Training Loss: 0.1763624315250399, Validation Loss: 0.17458323015572544, Validation Accuracy: 0.92434
Epoch 16/200, Training Loss: 0.17588974337348132, Validation Loss: 0.17396863228596818, Validation Accuracy: 0.924706
Epoch 17/200, Training Loss: 0.17546379121753444, Validation Loss: 0.17359113017210184, Validation Accuracy: 0.924823
Epoch 18/200, Training Loss: 0.17507752130411292, Validation Loss: 0.17317825603408935, Validation Accuracy: 0.925045
Epoch 19/200, Training Loss: 0.17474101184527305, Validation Loss: 0.1730030317561695, Validation Accuracy: 0.924876
Epoch 20/200, Training Loss: 0.17444610806003907, Validation Loss: 0.1724559630448826, Validation Accuracy: 0.925224
Epoch 21/200, Training Loss: 0.1741692114567104, Validation Loss: 0.17190604030895537, Validation Accuracy: 0.925555
Epoch 22/200, Training Loss: 0.17390498941134525, Validation Loss: 0.17172681566434927, Validation Accuracy: 0.925532
Epoch 23/200, Training Loss: 0.17365739077933523, Validation Loss: 0.1716630787323839, Validation Accuracy: 0.925514
Epoch 24/200, Training Loss: 0.17340198487647268, Validation Loss: 0.17115896259443447, Validation Accuracy: 0.92574
Epoch 25/200, Training Loss: 0.17316393073750186, Validation Loss: 0.17099044098259922, Validation Accuracy: 0.92591
Epoch 26/200, Training Loss: 0.17293350545804018, Validation Loss: 0.17089188384552734, Validation Accuracy: 0.925945
Epoch 27/200, Training Loss: 0.1727227028889712, Validation Loss: 0.17065718608161512, Validation Accuracy: 0.925988
Epoch 28/200, Training Loss: 0.172516268955784, Validation Loss: 0.170581155882095, Validation Accuracy: 0.926028
Epoch 29/200, Training Loss: 0.17233126635679435, Validation Loss: 0.1704231411123428, Validation Accuracy: 0.926074
Epoch 30/200, Training Loss: 0.17213348902886422, Validation Loss: 0.1705334407452958, Validation Accuracy: 0.926135
Epoch 31/200, Training Loss: 0.1719562692380316, Validation Loss: 0.16985436659841874, Validation Accuracy: 0.926377
Epoch 32/200, Training Loss: 0.1717043007994478, Validation Loss: 0.16929774191052008, Validation Accuracy: 0.926602
Epoch 33/200, Training Loss: 0.17144584359645504, Validation Loss: 0.16906078350239287, Validation Accuracy: 0.926825
Epoch 34/200, Training Loss: 0.17124006501771444, Validation Loss: 0.1688137273914136, Validation Accuracy: 0.926936
Epoch 35/200, Training Loss: 0.1710532512522405, Validation Loss: 0.16886896661485726, Validation Accuracy: 0.926905
Epoch 36/200, Training Loss: 0.1708761092568054, Validation Loss: 0.16884383663963587, Validation Accuracy: 0.926855
Epoch 37/200, Training Loss: 0.17070894557790658, Validation Loss: 0.1686669044886915, Validation Accuracy: 0.926987
Epoch 38/200, Training Loss: 0.17054779518765145, Validation Loss: 0.16838663673629395, Validation Accuracy: 0.927182
Epoch 39/200, Training Loss: 0.17041759858278036, Validation Loss: 0.16833381673779352, Validation Accuracy: 0.927168
Epoch 40/200, Training Loss: 0.1702823309215243, Validation Loss: 0.16818786591005783, Validation Accuracy: 0.927244
Epoch 41/200, Training Loss: 0.1701532449325632, Validation Loss: 0.1680378620616925, Validation Accuracy: 0.927264
Epoch 42/200, Training Loss: 0.17001136559483168, Validation Loss: 0.16775511633664275, Validation Accuracy: 0.927391
Epoch 43/200, Training Loss: 0.1698978869115336, Validation Loss: 0.16777692987515141, Validation Accuracy: 0.927501
Epoch 44/200, Training Loss: 0.1697772950241246, Validation Loss: 0.16761690335342297, Validation Accuracy: 0.927412
Epoch 45/200, Training Loss: 0.16963637777803803, Validation Loss: 0.16757339129623133, Validation Accuracy: 0.927496
Epoch 46/200, Training Loss: 0.16951259932524787, Validation Loss: 0.16743672260651574, Validation Accuracy: 0.927548
Epoch 47/200, Training Loss: 0.16937739915624023, Validation Loss: 0.1672255301627869, Validation Accuracy: 0.92772
Epoch 48/200, Training Loss: 0.16921626312152965, Validation Loss: 0.16701248987985495, Validation Accuracy: 0.927905
Epoch 49/200, Training Loss: 0.1690422989775013, Validation Loss: 0.16691391784162185, Validation Accuracy: 0.927928
Epoch 50/200, Training Loss: 0.1689046272710681, Validation Loss: 0.16669676150567234, Validation Accuracy: 0.928038
Epoch 51/200, Training Loss: 0.16876757772651974, Validation Loss: 0.16681369239339433, Validation Accuracy: 0.927927
Epoch 52/200, Training Loss: 0.16862577908707818, Validation Loss: 0.16692218893823532, Validation Accuracy: 0.927997
Epoch 53/200, Training Loss: 0.16850003020071788, Validation Loss: 0.16678267436476943, Validation Accuracy: 0.927979
Epoch 54/200, Training Loss: 0.16839197055538313, Validation Loss: 0.16676084411601289, Validation Accuracy: 0.928037
Epoch 55/200, Training Loss: 0.16821164981860348, Validation Loss: 0.16668278150284252, Validation Accuracy: 0.927937
Epoch 56/200, Training Loss: 0.16803486612378768, Validation Loss: 0.1666400528277833, Validation Accuracy: 0.927923
Epoch 57/200, Training Loss: 0.16787794062856504, Validation Loss: 0.16635843349721866, Validation Accuracy: 0.928145
Epoch 58/200, Training Loss: 0.16775307930155747, Validation Loss: 0.16617792425825953, Validation Accuracy: 0.928273
Epoch 59/200, Training Loss: 0.16761114870764546, Validation Loss: 0.16591780339947904, Validation Accuracy: 0.928371
Epoch 60/200, Training Loss: 0.16749580441273873, Validation Loss: 0.16583805947829358, Validation Accuracy: 0.928447
Epoch 61/200, Training Loss: 0.1673977341816767, Validation Loss: 0.16577923583527343, Validation Accuracy: 0.928628
Epoch 62/200, Training Loss: 0.1672931861779972, Validation Loss: 0.16553616142882327, Validation Accuracy: 0.928697
Epoch 63/200, Training Loss: 0.16720345679907625, Validation Loss: 0.16553730586656748, Validation Accuracy: 0.928825
Epoch 64/200, Training Loss: 0.16711124321700752, Validation Loss: 0.1653646667258808, Validation Accuracy: 0.928892
Epoch 65/200, Training Loss: 0.16701034050987065, Validation Loss: 0.16524662724889505, Validation Accuracy: 0.92895
Epoch 66/200, Training Loss: 0.16692675495440112, Validation Loss: 0.16509917406990124, Validation Accuracy: 0.929078
Epoch 67/200, Training Loss: 0.16685289250990695, Validation Loss: 0.16507400062899238, Validation Accuracy: 0.929096
Epoch 68/200, Training Loss: 0.1667740770105446, Validation Loss: 0.16503189623165435, Validation Accuracy: 0.92913
Epoch 69/200, Training Loss: 0.1666965094900538, Validation Loss: 0.16512120926913362, Validation Accuracy: 0.929007
Epoch 70/200, Training Loss: 0.1666335760063859, Validation Loss: 0.1650275843212018, Validation Accuracy: 0.929119
Epoch 71/200, Training Loss: 0.16656347789291465, Validation Loss: 0.16494393462951953, Validation Accuracy: 0.929179
Epoch 72/200, Training Loss: 0.16649011773885972, Validation Loss: 0.16505540069490196, Validation Accuracy: 0.929149
Epoch 73/200, Training Loss: 0.16642636506213354, Validation Loss: 0.16498160671692685, Validation Accuracy: 0.929127
Epoch 74/200, Training Loss: 0.1663735247128721, Validation Loss: 0.16507032865914292, Validation Accuracy: 0.929043
Epoch 75/200, Training Loss: 0.166309626769689, Validation Loss: 0.16495440290949215, Validation Accuracy: 0.929062
Epoch 76/200, Training Loss: 0.16623906566077096, Validation Loss: 0.16496073166592815, Validation Accuracy: 0.929105
Epoch 77/200, Training Loss: 0.16616944514196452, Validation Loss: 0.1650837794089089, Validation Accuracy: 0.929078
Epoch 78/200, Training Loss: 0.16610371983330996, Validation Loss: 0.16496147715245574, Validation Accuracy: 0.929108
Epoch 79/200, Training Loss: 0.1660318606494374, Validation Loss: 0.16493024574681975, Validation Accuracy: 0.929123
Epoch 80/200, Training Loss: 0.1659657659000491, Validation Loss: 0.16485611370767647, Validation Accuracy: 0.929142
Epoch 81/200, Training Loss: 0.16589513976740067, Validation Loss: 0.16483030480127364, Validation Accuracy: 0.929187
Epoch 82/200, Training Loss: 0.16582846654253924, Validation Loss: 0.16487743765020524, Validation Accuracy: 0.929155
Epoch 83/200, Training Loss: 0.165749026476341, Validation Loss: 0.1647603014787546, Validation Accuracy: 0.929196
Epoch 84/200, Training Loss: 0.16567581709788187, Validation Loss: 0.16470059695335243, Validation Accuracy: 0.929275
Epoch 85/200, Training Loss: 0.16559993231737272, Validation Loss: 0.16462663820566842, Validation Accuracy: 0.929187
Epoch 86/200, Training Loss: 0.16550926234834015, Validation Loss: 0.16442545705709977, Validation Accuracy: 0.929341
Epoch 87/200, Training Loss: 0.16542194605170304, Validation Loss: 0.1642301718171793, Validation Accuracy: 0.929387
Epoch 88/200, Training Loss: 0.16533418632235936, Validation Loss: 0.16421029633416917, Validation Accuracy: 0.929415
Epoch 89/200, Training Loss: 0.16523402983867694, Validation Loss: 0.16400428606679265, Validation Accuracy: 0.929495
Epoch 90/200, Training Loss: 0.16514254634464248, Validation Loss: 0.16391753431516715, Validation Accuracy: 0.929485
Epoch 91/200, Training Loss: 0.16506036951836003, Validation Loss: 0.16378403338380515, Validation Accuracy: 0.929682
Epoch 92/200, Training Loss: 0.16496808567358173, Validation Loss: 0.16369523922094523, Validation Accuracy: 0.929683
Epoch 93/200, Training Loss: 0.1648824126259356, Validation Loss: 0.1634744399081404, Validation Accuracy: 0.929803
