Ux,Uy,Vx,omegaRES
0.8830553755324445,0.4692352384314945,0.005612019012077087,0
0.8541598799005674,-0.38037030716536463,-0.3545833174236691,0
-0.8142114016500092,0.5802826014069711,-0.018218011073822697,0
0.16696545640744376,-0.5816570437678292,-0.7961140746161467,0
0.16372076829578608,-0.6698457410237804,-0.7242252365534773,0
-0.9002698956885202,-0.387534248079856,0.1983212582709217,0
-0.5865154334932736,0.580305388859907,-0.5650179660279391,0
-0.5252043058032158,0.572657580403359,-0.6294630511573596,-0.0750885691901706
-0.23651222973837738,-0.22761316091079964,0.9445920887686787,0.15662302047664783
0.3401193509848035,-0.8565059116513648,0.3882221662810359,0.20944323607678467
0.37176551917694217,0.642989269156022,-0.669593308285935,-0.28428786807352274
0.1880483212112467,0.8208584026600775,0.5392859275671651,0
0.48002679110673585,-0.6977653935047556,0.5316932719594294,0.12757360037449084
0.24082708853909676,-0.5110893264892453,-0.8251000022873297,0
-0.27855201410974295,0.9373604374757839,0.20919891417168626,0
0.3803877508248312,-0.25058828569774355,0.8902306836396352,0.0734382176030901
0.5019101388824496,0.35228990398282245,0.7899228038478026,0
-0.07536239443105631,0.7535314078976159,0.653078040373013,0
0.5358710151589541,-0.16524583088543393,0.8279710565517944,0
-0.7768256648784827,0.5584547408252613,0.29098142352372536,0
-0.7723025200032986,0.6321339626206817,0.06289253451745282,0
-0.037005770067828785,-0.4006150859260183,0.9154988399283617,0.3979690027056537
-0.06234864022979161,-0.20527873337935512,-0.9767155618109418,0
0.6530480101679226,0.542030354756981,-0.528896389605505,0
0.8611439050438839,-0.5083158414024708,0.006795600420027472,0
0.7754107360925477,0.02355157328320083,0.6310178394849859,0
-0.4011300457422053,0.6271260879081617,0.6676882178590999,0
-0.6846685377480846,0.7168279646348747,-0.13185849436165398,0
0.605683493869959,0.6230580456537975,-0.4949203744033474,0
0.864488672327223,0.2182276692279804,0.45280903237594355,0
0.9210910653134619,-0.38549350790188625,-0.05464434797131606,0
0.3180187290760273,0.3919648619455313,-0.8632656804002398,-0.23180341256812975
0.1856828460218362,-0.7602287303142077,-0.622554542428275,0
0.004590863334895195,0.7107433652068381,-0.7034364170188372,-0.7012227027644703
0.4517892739032632,0.8852142854943651,0.11082472983347597,0
-0.43649827689704296,-0.7494146074717551,0.49784234489832985,0.1693676518141028
-0.8090118476722349,-0.42126686933271945,-0.40991957153637604,0
0.7649246933537258,0.6439928977531445,-0.012781280891073277,0
-0.8430935523801831,0.15790144037504578,0.5140626392400535,0
0.37150410044916904,-0.7165891946684966,-0.590325867156276,0
-0.1831689541285248,0.884954783029,-0.4281403581041596,-0.3637665594654655
-0.2726366468849001,-0.5955362198169722,-0.7556493033553787,0
0.47170435123985527,0.22900032304252776,0.8515009436681824,0
0.9296146441930092,0.2604108205827382,0.26077349908556663,0
0.1854569211017902,-0.6269940763207714,-0.7566268292058557,0
-0.5058555459240404,-0.5889652867335854,-0.6302618961040851,0
0.7722871948408314,0.2218378429936736,-0.5952818324968383,0
0.8160889540324364,0.4870567746561355,0.31108602888559034,0
-0.7575519078317511,-0.4322131325899295,0.48919006015788374,0
0.21159069925184834,-0.25476278591154394,0.9435705055292385,0.1949579834417134
0.6401181447987214,0.6993751905963018,0.3179985903708218,0
0.7310575807414142,-0.5686882843928373,-0.3770257933283104,0
-0.961645271667371,-0.12649441137167886,-0.2433876237024402,0
-0.6614770677579963,-0.749827874130297,0.014361337247026472,0
0.5467080933322386,0.7803374971212212,0.3036176069855242,0
0.752382227435713,-0.3862922038131686,-0.5335722229577177,0
-0.9500325971455954,0.20400558881445774,-0.23626210888177007,0
0.594179028872045,-0.7810886003453027,-0.19196843505975067,0
0.882953092105704,0.35277622708432516,0.3097463006157216,0
0.4461608540208394,-0.8731259152327516,0.19644752095245463,0
0.23940155371565497,-0.830139808486665,0.5035422469309337,0.37704869564149457
0.8992037946344085,-0.3273675588762196,0.29028092791381493,0
-0.5166989530090543,0.11923157902337449,-0.8478242875283415,0
-0.9249734762616386,-0.25778528731966743,0.2792325444033635,0
0.1845340825598905,0.2825354131308828,-0.9413399559674183,-0.23436824187438293
0.4131617728163323,0.8198269167454431,0.39646081277085354,0
0.18779895737680344,0.37729609882074266,-0.906851258709406,-0.31745757436944916
-0.4294907550063095,0.8508854421265488,-0.30254199004636984,-0.06717231051112071
0.6245481402501961,-0.3464941615863294,0.6999152923723042,0
-0.355761523466803,-0.897333923371524,0.26120024576414025,0.1020535311915744
